Activity,Start_Time,End_Time
Welcome Reception,30/11/2024 19:00,30/11/2024 20:00
Explaination Video,30/11/2024 20:00,30/11/2024 20:15
Session 1,30/11/2024 20:15,30/11/2024 20:50
Session 2,30/11/2024 20:55,30/11/2024 21:30
Session 3,30/11/2024 21:35,30/11/2024 22:10
Session 4,30/11/2024 22:15,30/11/2024 22:50
Session 5,30/11/2024 22:55,30/11/2024 23:30
Session 6,30/11/2024 23:35,01/12/2024 00:00
Results Prep.,01/12/2024 00:00,01/12/2024 00:20
Awards,01/12/2024 00:20,01/12/2024 00:30
